sample,thalle,site_nom,espece_nom,espece_code,date_ech
TepA1,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA2,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA3,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA4,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA5,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA6,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA7,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepA8,TephroA,Mosaique_1,Tephro,T_atra,2021/03/31
TepB1,TephroB,Mosaique_1,Tephro,T_atra,2021/03/31
TepB2,TephroB,Mosaique_1,Tephro,T_atra,2021/03/31
TepC1,TephroC,Mosaique_1,Tephro,T_atra,2021/03/31
TepC2,TephroC,Mosaique_1,Tephro,T_atra,2021/03/31
TepC3,TephroC,Mosaique_1,Tephro,T_atra,2021/03/31
TepC4,TephroC,Mosaique_1,Tephro,T_atra,2021/03/31
TepD1,TephroD,Mosaique_1,Tephro,T_atra,2021/03/31
TepD2,TephroD,Mosaique_1,Tephro,T_atra,2021/03/31
TepD3,TephroD,Mosaique_1,Tephro,T_atra,2021/03/31
TepE1,TephroE,Mosaique_1,Tephro,T_atra,2021/03/31
OchA1,OchroA,Mosaique_1,Ochro,O_par,2021/03/31
OchA2,OchroA,Mosaique_1,Ochro,O_par,2021/03/31
OchB1,OchroB,Mosaique_1,Ochro,O_par,2021/03/31
OchB2,OchroB,Mosaique_1,Ochro,O_par,2021/03/31
OchB3,OchroB,Mosaique_1,Ochro,O_par,2021/03/31
OchB4,OchroB,Mosaique_1,Ochro,O_par,2021/03/31
OchC1,OchroC,Mosaique_1,Ochro,O_par,2021/03/31
OchC2,OchroC,Mosaique_1,Ochro,O_par,2021/03/31
OchC3,OchroC,Mosaique_1,Ochro,O_par,2021/03/31
OchC4,OchroC,Mosaique_1,Ochro,O_par,2021/03/31
OchE1,OchroE,Mosaique_1,Ochro,O_par,2021/03/31
OchE2,OchroE,Mosaique_1,Ochro,O_par,2021/03/31
AnaA1,AnaptA,Mosaique_1,Anapt,A_run,2021/03/31
AnaA2,AnaptA,Mosaique_1,Anapt,A_run,2021/03/31
AnaA3,AnaptA,Mosaique_1,Anapt,A_run,2021/03/31
AnaA4,AnaptA,Mosaique_1,Anapt,A_run,2021/03/31
AnaB1,AnaptB,Mosaique_1,Anapt,A_run,2021/03/31
AnaB2,AnaptB,Mosaique_1,Anapt,A_run,2021/03/31
AnaB3,AnaptB,Mosaique_1,Anapt,A_run,2021/03/31
AnaB4,AnaptB,Mosaique_1,Anapt,A_run,2021/03/31
AnaC1,AnaptC,Mosaique_1,Anapt,A_run,2021/03/31
AnaC2,AnaptC,Mosaique_1,Anapt,A_run,2021/03/31
AnaC3,AnaptC,Mosaique_1,Anapt,A_run,2021/03/31
AnaC4,AnaptC,Mosaique_1,Anapt,A_run,2021/03/31
AnaD1,AnaptD,Mosaique_1,Anapt,A_run,2021/03/31
AnaD2,AnaptD,Mosaique_1,Anapt,A_run,2021/03/31
AnaD3,AnaptD,Mosaique_1,Anapt,A_run,2021/03/31
XanA1,XanthA,Mosaique_1,Xanth,X_aur,2021/03/31
XanB1,XanthB,Mosaique_1,Xanth,X_aur,2021/03/31
XanB2,XanthB,Mosaique_1,Xanth,X_aur,2021/03/31
XanB3,XanthB,Mosaique_1,Xanth,X_aur,2021/03/31
XanB4,XanthB,Mosaique_1,Xanth,X_aur,2021/03/31
XanB5,XanthB,Mosaique_1,Xanth,X_aur,2021/03/31
XanC1,XanthC,Mosaique_1,Xanth,X_aur,2021/03/31
XanC2,XanthC,Mosaique_1,Xanth,X_aur,2021/03/31
XanC3,XanthC,Mosaique_1,Xanth,X_aur,2021/03/31
XanD1,XanthD,Mosaique_1,Xanth,X_aur,2021/03/31
XanD2,XanthD,Mosaique_1,Xanth,X_aur,2021/03/31
XanD3,XanthD,Mosaique_1,Xanth,X_aur,2021/03/31
XanE1,XanthE,Mosaique_1,Xanth,X_aur,2021/03/31
DipA1,DiploA,Mosaique_1,Diplo,D_cae,2021/03/31
DipB1,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB2,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB3,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB4,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB5,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB6,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipB7,DiploB,Mosaique_1,Diplo,D_cae,2021/03/31
DipC1,DiploC,Mosaique_1,Diplo,D_cae,2021/03/31
DipC2,DiploC,Mosaique_1,Diplo,D_cae,2021/03/31
DipD1,DiploD,Mosaique_1,Diplo,D_cae,2021/03/31
DipD2,DiploD,Mosaique_1,Diplo,D_cae,2021/03/31
DipD3,DiploD,Mosaique_1,Diplo,D_cae,2021/03/31
BueA1,BuelA,Mosaique_1,Buel,Buel,2021/03/31
BueB1,BuelB,Mosaique_1,Buel,Buel,2021/03/31
BueB2,BuelB,Mosaique_1,Buel,Buel,2021/03/31
BueB3,BuelB,Mosaique_1,Buel,Buel,2021/03/31
BueC1,BuelC,Mosaique_1,Buel,Buel,2021/03/31
Roc1,Roc1,Mosaique_1,Roche,Roc,2021/03/31
Roc2,Roc2,Mosaique_1,Roche,Roc,2021/03/31
Roc3,Roc3,Mosaique_1,Roche,Roc,2021/03/31
